n,predictor,true_beta,mean_estimate,bias,empirical_sd,mean_analytic_se,se_ratio_analytic_over_empirical,coverage_95_analytic,rmse,improper_solutions,failed_fits,n_reps
100,UnsafeActs,0.45,0.45620484257364124,0.006204842573641234,0.15187419151305712,0.09585414508371526,0.6311417636450388,0.78,0.15174776512011393,0,0,300
100,OperationalStress,0.3,0.30741343223870793,0.00741343223870794,0.14312848881353507,0.09584032385579727,0.6696103944802779,0.7933333333333333,0.14308192550623108,0,0,300
100,SystemCondition,-0.25,-0.257051051193059,-0.007051051193058988,0.14655784424857976,0.09642021714377023,0.6578987132222682,0.7966666666666666,0.14648317887963155,0,0,300
100,SafetyResponseCapability,-0.2,-0.20212328328079385,-0.002123283280793836,0.14241260065507141,0.09607440243802792,0.674620096789916,0.8233333333333334,0.14219090217431943,0,0,300
200,UnsafeActs,0.45,0.45374969021429334,0.003749690214293333,0.09746704400780724,0.06804513941711049,0.6981348424977368,0.8233333333333334,0.09737668489991638,0,0,300
200,OperationalStress,0.3,0.3020602640236216,0.0020602640236216385,0.09337721858577058,0.06797002164098004,0.7279079701709785,0.85,0.09324422388987834,0,0,300
200,SystemCondition,-0.25,-0.25693115347102585,-0.006931153471025853,0.10103052728463598,0.06810499383412695,0.6741031217451033,0.7933333333333333,0.10109987359226741,0,0,300
200,SafetyResponseCapability,-0.2,-0.19508765525740682,0.004912344742593194,0.09567906039995991,0.06810633518862531,0.7118206941406571,0.8466666666666667,0.0956456940373822,0,0,300
500,UnsafeActs,0.45,0.45223084790218515,0.00223084790218514,0.056497742016167085,0.04278075584625832,0.7572117808534085,0.8633333333333333,0.056447600059213954,0,0,300
500,OperationalStress,0.3,0.3015042503467313,0.001504250346731295,0.06038478492769342,0.042758152842462295,0.7080948105331867,0.8333333333333334,0.060302824248677486,0,0,300
500,SystemCondition,-0.25,-0.25321368054544063,-0.0032136805454406336,0.0666341632557538,0.04280403162682848,0.6423736644300457,0.7566666666666667,0.06660059371406994,0,0,300
500,SafetyResponseCapability,-0.2,-0.2018390739349139,-0.001839073934913893,0.05829757461167587,0.04273797028149848,0.7331003144844193,0.8566666666666667,0.05822938010881318,0,0,300
1000,UnsafeActs,0.45,0.450879170691835,0.0008791706918349629,0.04103379379605035,0.030189619713441165,0.7357257743091506,0.86,0.04097478005177297,0,0,300
1000,OperationalStress,0.3,0.3006662283405185,0.0006662283405184932,0.043825076572060334,0.030173199478303055,0.6884916545140569,0.8066666666666666,0.043757045973117345,0,0,300
1000,SystemCondition,-0.25,-0.24836794762852474,0.0016320523714752622,0.04073328682508145,0.030228867662925468,0.7421170747338782,0.8433333333333334,0.04069807835347607,0,0,300
1000,SafetyResponseCapability,-0.2,-0.20155010889701314,-0.001550108897013125,0.04135938720150097,0.030181635024735285,0.7297408657843936,0.84,0.04131948391389551,0,0,300
2000,UnsafeActs,0.45,0.4527459661890374,0.0027459661890373854,0.028915215913022135,0.021299705242037382,0.7366261869220536,0.8433333333333334,0.028997294285910587,0,0,300
2000,OperationalStress,0.3,0.2984254551773929,-0.0015745448226071046,0.030497000032326454,0.021310768035855167,0.6987824380518086,0.8233333333333334,0.030486816478606172,0,0,300
2000,SystemCondition,-0.25,-0.2502660587289391,-0.0002660587289390892,0.03195352222172366,0.021304837351192086,0.6667445674176087,0.8,0.031901331388311235,0,0,300
2000,SafetyResponseCapability,-0.2,-0.2012871445602747,-0.0012871445602746778,0.03029137059271165,0.021294276905839325,0.7029816244420086,0.8333333333333334,0.0302682228813667,0,0,300
5000,UnsafeActs,0.45,0.45135670961222407,0.0013567096122240607,0.018618810028233134,0.013481710920598694,0.7240909005546186,0.86,0.018637199741818624,0,0,300
5000,OperationalStress,0.3,0.3001870070618399,0.00018700706183988336,0.019424333702868612,0.01347851585519208,0.6938984915195086,0.8366666666666667,0.019392834475021287,0,0,300
5000,SystemCondition,-0.25,-0.25143037054657946,-0.0014303705465794625,0.019367070557408755,0.013487777801309714,0.6964283917554092,0.83,0.01938760180638438,0,0,300
5000,SafetyResponseCapability,-0.2,-0.20003099356485615,-3.099356485614102e-05,0.019553218090275725,0.013480206474620038,0.689411145131351,0.82,0.019520626795640095,0,0,300
