# SYNTHETIC DATA - GENERATED, NOT MEASURED - NOT AN EMPIRICAL FINDING
# generated: 2026-09-04
# twelve indicators of four latent predictors (loadings 0.75) plus a rare
#   binary outcome generated from a logistic model on the latent values
# outcome coefficients: 0.6, 0.4, -0.3, -0.25; marginal rate 0.005
# n = 25000, seed = 424242
# 'true_probability' is the generating probability for each row. It does
#   not exist in real data and is present only to make calibration error
#   separable from outcome noise.
# regenerate with: python3 synthetic/generate_synthetic_datasets.py
unsafeacts_1,unsafeacts_2,unsafeacts_3,operationalstress_1,operationalstress_2,operationalstress_3,systemcondition_1,systemcondition_2,systemcondition_3,safetyresponsecapability_1,safetyresponsecapability_2,safetyresponsecapability_3,recordable,true_probability
-2.64716,-2.07402,-2.7879,-3.05956,-2.73928,-1.88997,-0.741682,0.0992661,-0.358674,-0.0570151,-0.0491679,0.466463,0,0.000351916
-0.275665,0.869476,0.226211,0.822564,0.776733,1.06219,0.693572,1.55431,-0.154165,0.837916,0.965527,0.213899,0,0.00859816
-0.348078,-1.34819,1.47551,1.01271,1.93409,0.0909978,0.371954,-0.148286,-0.168947,-0.77419,0.154951,-0.185224,0,0.00573863
1.07197,2.0812,1.89338,-0.169484,0.703025,0.102476,0.415435,-0.100454,-0.168549,-1.16744,-0.270454,0.199606,0,0.0146531
0.342416,-0.548714,-0.101141,-1.1114,0.481054,-1.72384,-0.612658,-0.427894,-0.521021,-1.28615,-1.45672,-0.300125,0,0.00603171
-0.75334,-0.898976,-0.809996,0.416251,-0.667205,-0.960132,0.061355,-0.232875,-1.08887,-0.876709,0.142828,-1.4113,0,0.00347945
-0.329815,0.0812537,-1.13536,-0.0137219,-0.115688,-1.27931,-0.558873,-2.20908,-1.25869,-2.34214,-1.56654,-2.70089,0,0.00294575
0.974615,-0.368066,-0.674436,1.54451,1.79052,1.08945,1.12616,0.609915,0.67359,1.18603,0.711042,0.863617,0,0.00633814
-0.126425,-1.6469,0.030461,0.732615,-0.638875,1.95324,-0.952342,-0.617427,0.726499,1.52357,1.88939,2.70304,0,0.00285101
-1.39354,-1.22058,-0.718523,-0.31707,0.00956036,0.0370989,-0.462421,-1.40545,-0.934351,0.759748,1.64879,0.726872,0,0.001674
0.658905,-0.421275,-0.833062,-0.802025,-2.23301,0.912844,0.281848,-0.926969,1.03621,-0.761178,-1.48496,-1.21113,0,0.00361265
-0.539493,1.17966,-0.728502,-1.00829,0.0431445,0.10162,0.279167,-0.334454,-1.46571,0.262438,0.713152,-0.00221901,0,0.00253477
-0.872516,-0.315556,-1.17074,0.711002,1.6877,1.82629,0.636745,0.465287,-0.277092,1.5766,0.741695,0.592978,0,0.00474154
1.55065,1.21272,0.270101,0.140481,0.463841,-0.061138,0.94435,-0.281036,0.442896,0.0342727,0.391715,1.1228,0,0.00282335
-2.34893,-1.50181,-2.97196,0.149588,-0.0258071,0.449312,-1.49383,-0.830112,-1.59905,-0.973644,-0.88616,-0.801656,0,0.00305918
-1.63073,-0.93244,-0.979776,-1.6816,-1.23595,1.10474,0.65796,-0.985508,-0.0840191,0.686464,-0.542287,0.180706,0,0.00266948
0.201467,-0.82491,-0.295519,0.399316,-1.73423,-0.411006,0.506343,-0.500672,-1.75407,0.586574,1.2398,0.434936,0,0.00301911
-0.382776,-0.54728,0.692255,-0.851947,0.132607,1.13443,0.876154,0.0491921,0.801329,0.530107,1.29268,0.140364,0,0.00402172
-1.4512,-0.0467793,0.0531781,-0.505303,0.217486,-0.927858,-0.475659,-0.0219501,0.932737,-0.282095,0.262111,-0.339017,0,0.00275777
0.204292,0.288395,0.0410185,0.117534,0.0568128,0.783793,0.835202,0.726102,-0.0622988,1.96112,-0.0745613,1.1833,0,0.00310185
1.3101,-0.185,0.330499,0.404544,-0.845131,-0.880406,1.08506,1.68579,1.57004,0.26318,0.585516,0.222576,0,0.00286985
-1.39325,-0.100712,-0.0534502,0.280433,-0.527891,0.269374,-0.36619,-0.221456,-0.797638,-1.12568,-0.48975,-1.65295,0,0.00317477
1.44486,0.262904,0.32954,0.293859,0.158629,-0.113742,0.462441,2.46278,1.79162,0.200706,-1.16737,-0.309142,0,0.00338985
-0.505133,-0.948211,0.542212,0.478939,0.862938,-1.25689,0.24026,-0.816611,-1.56381,-0.386664,-0.516844,-0.573222,0,0.00314969
-1.27581,-1.32163,-0.710162,0.612062,0.656619,0.435357,-1.09254,0.394619,-0.964704,-0.778555,0.635436,-0.0077945,0,0.003958
-0.0350154,-0.438426,-0.85453,0.0809729,0.871124,1.0093,0.588384,0.766047,-0.486232,0.288004,0.853986,-0.180272,0,0.00329831
