# SYNTHETIC DATA - GENERATED, NOT MEASURED - NOT AN EMPIRICAL FINDING
# generated: 2026-09-04
# generating model: five standardized latent variables, three congeneric
#   indicators each, all loadings 0.75
# structural paths into 'Risk': UnsafeActs 0.45, OperationalStress 0.30,
#   SystemCondition -0.25, SafetyResponseCapability -0.20
# exogenous latent correlations: 0.35 between every pair
# n = 1200, seed = 20260903
# columns prefixed 'latent_' are the generating latent scores. They are
#   never observable in real data and are included only so that examples
#   can compare an estimate against the value that produced it.
# regenerate with: python3 synthetic/generate_synthetic_datasets.py
unsafeacts_1,unsafeacts_2,unsafeacts_3,operationalstress_1,operationalstress_2,operationalstress_3,systemcondition_1,systemcondition_2,systemcondition_3,safetyresponsecapability_1,safetyresponsecapability_2,safetyresponsecapability_3,risk_1,risk_2,risk_3,latent_UnsafeActs,latent_OperationalStress,latent_SystemCondition,latent_SafetyResponseCapability,latent_Risk
-0.127656,-0.185488,0.316301,-1.16076,0.411446,-1.07129,0.278395,0.917746,1.90639,-0.758394,-0.632724,-0.974397,0.75093,0.0945286,-0.514314,-0.0277348,-0.395224,0.99644,-0.718417,-0.279285
-0.0587148,1.50588,0.053272,-1.52137,-0.144284,-0.496798,-0.661629,-0.467394,-0.325813,-0.231015,-0.568177,-0.570342,0.108813,1.09884,0.328243,0.25043,-0.822608,-1.30398,-0.276774,0.821704
-0.155487,-0.265324,-0.323644,1.24515,0.9857,-0.044518,-1.22397,-1.84654,-1.09481,-0.393004,-0.411896,0.362881,-0.279785,0.0240216,-0.903527,-0.0573872,0.622669,-1.29944,-0.15698,-0.583033
0.819133,0.195427,0.221484,-0.215816,-1.55265,0.400255,0.0281504,0.0479093,0.944212,-0.676123,-0.250508,-1.4601,0.239117,-0.216385,0.601927,0.0486005,-0.885953,0.673197,-0.859885,-0.290332
0.239282,0.504296,-0.698809,-0.0684117,1.01666,-0.169535,0.184433,-0.0287796,0.218675,0.354747,0.818768,0.217842,-1.32426,-0.475153,0.74953,-0.239779,0.234618,0.136125,0.714573,-0.909006
0.453604,0.640543,0.227578,0.717924,0.471895,-0.743195,-2.04481,-1.23238,-1.257,-0.869058,-1.78847,-0.388237,0.0624981,-0.618735,-1.64365,0.530315,0.440888,-2.29191,-1.24259,0.170887
0.97947,0.341793,0.666283,-0.965031,1.63732,-0.849372,1.71709,0.518582,1.49059,-0.248804,0.513298,0.676249,0.50155,0.248089,0.329309,0.976993,-0.621411,1.25535,0.347534,-0.428235
-0.525393,-1.26954,-0.276797,-0.933103,0.322305,0.557741,-0.491787,-0.799201,-2.22518,-0.602682,0.263154,-0.646175,-1.26577,0.708146,0.175074,-0.172211,0.243586,-1.76505,-0.39859,-0.221101
1.9454,0.851529,1.09833,1.66732,-0.361965,0.768452,0.29284,0.10471,0.311771,0.888384,2.73949,2.09925,0.676853,0.97245,-0.079304,1.85756,1.8943,0.377805,2.13303,0.506923
-0.856153,-1.67174,-0.66583,-1.70977,-1.28406,-1.24962,0.521381,-0.62148,0.0150708,0.301581,-0.68558,-1.57886,0.616928,1.94458,1.39543,-1.67652,-0.826671,-0.997725,-0.439485,1.45773
-0.365706,-0.512711,-0.117467,0.337616,0.120647,-0.765726,0.071159,-1.20551,-1.05838,-0.29843,-0.427997,-0.321171,0.27938,1.3496,0.792894,0.115666,-0.189678,-0.4132,-0.606846,0.562568
0.42768,-0.0198624,0.0764549,0.141404,0.278184,-1.75016,-0.617057,-0.329816,-0.56283,0.669236,0.410128,1.39019,-0.64738,-0.0637671,0.258634,-0.302993,-0.283349,-1.08868,0.43339,0.341206
0.756617,-0.493949,0.322083,0.00614833,2.14292,-0.21161,-0.151099,1.8764,0.575588,0.614388,-0.0568242,0.718051,0.562738,0.73935,1.30131,0.293909,1.79792,1.2171,0.831279,0.965047
-0.985633,1.16129,0.553531,1.76996,0.355103,1.22926,-0.63305,0.558068,-0.187666,0.637124,0.22938,0.972516,0.311826,-0.287901,-0.123883,0.536656,0.944411,-0.307059,0.631574,0.528431
0.383072,-0.561039,0.884446,-1.05764,-0.00489461,-1.26338,1.07753,0.182164,1.90002,-0.0210361,0.638935,0.731655,0.619269,0.156448,-1.19157,0.268566,-0.786654,1.34096,0.0946693,-0.835178
0.0772853,-0.0834797,-0.468856,0.624529,-0.200204,0.731745,0.0892232,-0.127438,0.363214,0.430494,1.26397,-0.0173007,0.345849,0.852078,0.235974,0.337538,1.33738,0.343058,0.643208,0.455359
0.692522,0.0496106,1.48106,1.37238,1.18486,-1.65593,-1.04834,0.0332758,0.428668,-1.59265,1.42858,-1.55195,0.588543,0.746093,0.313739,0.752337,-0.431176,-0.087984,-0.883017,0.568167
