# SYNTHETIC DATA - GENERATED, NOT MEASURED - NOT AN EMPIRICAL FINDING
# generated: 2026-09-04
# twelve indicators of four latent predictors plus a zero-inflated Poisson
#   count outcome
# count coefficients 0.35, 0.20, -0.15, -0.10; base mean 1.5
# structural-zero coefficients -0.30, 0, 0, 0.25; structural-zero rate 0.38
# n = 8000, seed = 771
# observed zeros are a mixture of Poisson zeros and structural zeros; the
#   two are not separable from the counts alone
# regenerate with: python3 synthetic/generate_synthetic_datasets.py
unsafeacts_1,unsafeacts_2,unsafeacts_3,operationalstress_1,operationalstress_2,operationalstress_3,systemcondition_1,systemcondition_2,systemcondition_3,safetyresponsecapability_1,safetyresponsecapability_2,safetyresponsecapability_3,recordable_count,poisson_mean,structural_zero_probability
-1.42914,-1.04898,-1.5283,0.579361,0.282575,1.13742,0.102008,-0.667688,-1.2867,0.646996,0.494919,0.895242,2,1.22651,0.462703
-0.0966137,-0.815047,-0.0706739,-1.11744,-0.212273,0.460894,0.0044441,-1.05925,-0.925905,1.20064,0.509124,1.71535,0,1.34149,0.44875
1.53623,0.194414,0.594308,2.31897,0.926057,1.78023,1.26924,2.12412,2.31427,0.2315,1.93322,0.954737,0,2.16093,0.351321
1.52755,0.753062,0.143774,0.774879,1.39843,-0.271856,-0.597689,-0.190838,-0.989622,-0.0807393,-0.358329,-1.094,0,2.3513,0.311346
-0.814301,-1.62292,-1.74238,-1.70852,-0.118929,-2.07247,-0.538998,-0.347913,-2.03997,-0.0593863,0.058415,-0.473295,0,0.618255,0.508171
-1.31118,1.68696,0.779009,-0.509561,-0.60331,0.639001,-1.08531,-0.058113,0.687921,2.54218,0.63191,1.08387,0,2.42483,0.328072
-2.53435,-1.37128,-1.08336,-0.166049,0.967924,-0.254686,-2.07326,-3.76947,-2.25209,1.16417,1.19091,0.985901,0,1.4778,0.481645
-0.0345729,-1.59506,-1.61312,1.83276,-0.108997,0.657762,-1.43193,-1.06959,-1.04554,2.07021,2.01391,2.1766,3,1.21122,0.559264
-0.43128,-0.22564,-2.17929,0.0241239,-0.726833,0.113718,1.40395,1.36363,2.12662,0.713891,-0.667097,0.598164,0,0.909039,0.481567
0.503487,0.569226,0.543427,-0.195634,-0.0344051,-0.145834,-1.24739,-1.66827,-1.75168,-1.49105,-0.712646,-0.635855,1,2.17106,0.290895
-0.268972,-0.901148,-1.60127,0.294858,1.51068,1.15367,0.519079,0.136062,-0.356159,-0.511035,1.02592,0.163033,2,1.2133,0.476058
-0.340796,0.258917,-0.28703,0.373345,0.549829,0.021967,-1.44572,1.20192,0.843286,0.720374,-0.38083,0.464771,0,1.80998,0.420343
-0.245751,-0.850523,0.726928,-1.30245,-2.11509,-1.46388,0.161949,-0.377087,0.0202923,0.643458,1.5194,0.073033,0,1.05272,0.499015
0.452375,0.414765,-0.510204,-0.820208,0.173745,-0.039063,0.591965,0.891076,-0.349962,-0.126109,-0.513881,-0.466063,0,1.38345,0.286987
0.000933828,1.18127,-1.54374,-1.36524,-1.34222,-1.1082,0.426675,1.21268,0.614515,0.269865,-1.64463,-1.66967,2,1.15529,0.321505
-0.709144,0.601785,1.34678,1.93319,-0.0897315,2.48857,0.412543,1.08492,0.787268,-0.917724,0.466519,-0.537596,0,1.75028,0.375915
1.92105,1.43558,0.300857,1.01812,2.37424,2.31985,0.949215,1.86787,-0.455686,1.40114,0.236362,0.409225,3,3.43716,0.30989
1.01064,0.185549,1.71903,-0.223657,1.35427,0.709376,0.275809,0.853582,-0.59391,-0.56564,0.00568624,0.92019,0,3.21437,0.248192
-1.81294,-1.04906,-1.17542,-0.568792,-1.13141,-0.12539,-1.21518,-0.480969,0.100011,-1.20499,-0.254121,-0.355033,0,1.22664,0.417801
-0.96185,0.560956,0.40158,-1.03403,-2.79279,-2.33431,0.720649,0.772579,0.232689,0.535061,-0.066012,-0.0756288,0,0.635521,0.416906
-0.0933786,0.19448,0.600099,-1.41273,-1.12831,-1.14233,-2.37081,-2.36056,-1.33579,0.75788,-0.225012,-0.275848,1,1.98291,0.321913
-1.53371,-0.561464,0.848062,0.324595,-0.485344,-0.148662,0.345412,-0.911851,-0.460793,-0.676597,-0.685711,-0.2269,1,1.85445,0.332541
0.827679,-0.180374,0.675209,-0.551552,-1.75143,-2.27244,-0.339289,-1.19129,-0.98636,0.254764,1.09555,0.296185,0,1.40805,0.38168
0.896825,0.850592,0.631497,0.271359,1.70115,0.31909,-0.478265,-0.00145183,0.197803,0.915449,0.332189,0.619443,2,2.39761,0.353265
-0.915457,-0.374009,-1.24575,-0.779941,-1.24133,-0.894358,0.51363,0.388534,1.01407,0.353812,-0.417962,0.377955,0,0.966895,0.40028
0.4083,-0.281345,-1.19251,-0.0492968,-0.189051,0.63259,0.69143,-0.540187,0.983792,0.770767,0.890235,0.797141,1,1.23208,0.443486
-0.712902,-0.0752521,-1.39895,-0.316442,-1.70032,-0.0625106,0.053931,0.101982,0.375657,-1.73347,-0.0852563,0.327992,0,1.09611,0.363262
-0.132078,-0.985806,-0.623203,-0.314258,-1.14612,0.0153431,1.17083,0.337642,0.097128,0.0238787,0.674388,1.73737,0,0.940641,0.443685
-0.0593042,0.655541,0.872053,1.91981,0.654202,1.4248,0.767976,-0.443644,-1.22954,-0.5809,-1.18802,-1.66896,0,3.83979,0.237479
-0.369091,0.981967,0.397878,0.207395,-0.128125,1.02336,-0.0674447,-0.686646,-0.828887,0.246028,-0.0986742,-1.53118,4,2.05749,0.344129
0.901639,0.575777,-0.133229,-0.390838,-0.629663,-0.10692,-2.05267,-1.75923,-0.759307,0.750068,-1.04127,-1.87826,3,2.37699,0.308169
-0.132868,0.612472,-0.326166,1.11529,0.125455,0.270823,1.04772,-0.390781,-0.354914,-1.74548,-1.81935,-1.83449,0,1.75983,0.298972
-1.35924,-1.5614,-2.19858,0.725476,1.02172,1.19216,-1.05499,-1.55876,-0.899703,-0.490934,-0.634584,-0.116069,4,1.19542,0.490319
-0.734313,-2.6902,-2.31023,-1.0627,-0.613838,0.408491,-1.85934,-1.32927,-1.55704,-1.89206,-1.55217,-0.862308,0,0.621874,0.51615
-1.17611,-1.34253,-1.78396,-1.96868,-0.657971,-2.01481,0.360591,-1.91436,-0.18273,-1.77638,0.00811273,-0.370397,0,0.920929,0.380868
2.32506,1.2879,2.84919,1.47352,0.531033,1.74685,-0.342307,1.01203,-0.513763,-0.595547,0.451925,-0.391291,0,3.22491,0.321981
-1.29423,-1.03449,0.610979,0.157553,0.335651,0.81904,0.0339898,0.11622,-1.66961,0.0795163,0.768812,-0.201755,0,1.83866,0.415674
0.461717,0.0055022,-1.12859,0.766669,0.222614,1.13719,0.768628,-0.132654,0.621994,1.59716,0.406212,1.50901,2,1.39027,0.416282
-0.997929,0.42,-1.27755,-2.40822,-1.45848,-0.64026,-0.344587,0.990301,-0.528096,-0.0782917,1.42794,1.01729,0,1.47981,0.381584
-2.25638,-0.736516,-1.11891,0.718905,-0.368224,0.357205,0.166324,0.0012018,-0.313107,-0.106722,0.348312,1.04827,0,0.904951,0.530719
1.02463,-0.217362,1.57534,1.3463,0.415572,-0.381332,0.975541,1.19833,1.04747,0.815775,0.989359,0.431275,0,1.4606,0.384473
-0.601946,-0.995154,-1.91639,-0.443627,-0.140719,-0.500953,0.651782,-0.4377,-0.0153734,0.0310524,-0.054804,1.07693,2,0.865754,0.469846
-1.36696,0.94357,-1.00205,0.220026,0.42532,0.177105,-1.17511,0.870818,-0.555959,-0.0574927,0.315488,-0.625471,0,1.3847,0.394206
0.0415187,-0.158685,0.678498,1.15909,-0.382578,1.20609,0.177072,1.1778,1.24273,0.0868006,0.618203,0.232745,2,1.30003,0.409636
-0.0217601,-0.0653413,0.110341,-1.01957,-1.49401,-0.465985,-1.46578,0.45826,-0.680455,-0.120203,1.24236,0.193729,0,1.00773,0.432845
0.129938,-0.590624,0.318601,-0.742549,0.595781,-0.309344,0.24758,0.643837,0.1119,-1.28641,0.157611,-0.106182,2,1.37436,0.35198
-0.0546627,-0.424215,-0.162499,0.778531,-0.0438151,0.525818,2.15202,0.841149,0.575282,-0.953463,-0.22983,-0.797558,0,0.919811,0.406943
1.41534,0.791993,0.0105357,-0.838849,-0.912554,0.504954,-0.293851,-0.692224,-0.310312,-1.26294,-0.465797,-1.5232,3,2.04648,0.256897
0.724745,-1.14424,-1.17414,0.20689,-0.503059,-0.374018,0.793766,0.264688,1.91517,1.66261,-0.381047,1.35122,0,0.848157,0.474889
-0.6642,-0.918382,0.127566,1.19356,-1.03796,0.211173,-0.176762,2.25275,1.5674,0.236179,0.615655,-1.98585,1,1.00947,0.394602
-2.10796,-0.380746,-1.12724,0.321584,-0.116549,0.297895,0.00237663,-0.212852,-1.79408,-0.901137,-0.789637,-0.516925,0,0.823451,0.53704
-0.338364,-0.610067,-0.444824,0.282196,0.797832,0.846207,0.624682,1.87218,1.00494,-0.871688,-1.17868,-0.141333,0,1.24859,0.390971
0.603998,0.265308,0.8629,0.533691,-0.109771,0.944653,0.264575,-1.09937,0.243969,0.33134,0.911772,0.9983,0,2.04806,0.294103
0.459674,1.4278,0.03559,-1.08173,-0.790581,-0.178847,0.268468,0.59141,0.142646,1.91375,0.427782,2.20867,4,1.39722,0.365856
0.453461,0.510713,1.10374,-0.213886,-0.561616,0.00762125,-0.0368901,0.994297,0.462453,-0.684751,-0.915294,0.0817902,0,1.86802,0.297942
0.103453,-0.353373,-0.461594,0.570796,-0.333972,-0.337589,0.768217,0.920209,0.147486,1.20477,-0.501761,-0.666652,0,1.1656,0.38509
0.435218,-0.804627,1.89276,0.876076,0.0422152,1.51015,1.56778,-0.076903,0.221658,0.000714284,-0.284229,-1.71017,2,1.67009,0.375667
-0.0858456,-2.02836,-0.0137429,-0.935958,-1.52331,-1.92911,-0.860581,-0.731353,-0.880113,-2.33527,-2.08955,-1.29755,0,0.923906,0.351824
-0.218796,0.835046,0.802377,0.267274,-1.32844,0.449608,-1.00782,-1.17901,-1.11719,-1.14017,-0.612319,-0.0367587,1,1.68846,0.332785
0.745546,1.20506,0.83343,0.263468,0.9917,0.00565694,0.45917,-0.362893,-0.236143,-1.46539,-0.0918736,0.721539,0,3.1704,0.273843
0.131691,0.498872,0.0041795,-0.720494,-0.574392,-0.805393,0.194479,-0.161828,0.595051,-0.700317,-1.30224,-1.43189,0,1.28379,0.283378
0.00903087,-0.866246,-0.169767,-0.290376,0.456804,-0.537994,0.613239,0.334341,0.157247,-1.02656,-1.64327,0.346457,2,1.43037,0.338562
-1.70424,-1.8177,-1.73296,-0.153443,-0.41841,-0.837872,0.478647,0.634176,-1.27869,1.10997,-0.72441,-0.0611056,1,0.75971,0.491752
1.2614,2.18656,1.33471,1.61381,0.401586,-0.45017,1.13219,1.4829,1.0786,-1.49866,-0.730331,-0.169528,2,3.33515,0.212219
0.496981,0.692186,1.34375,0.510212,-1.02534,-0.114627,-0.251085,-0.430529,-0.0168266,-1.03749,-0.0422207,-1.00262,0,1.77982,0.340883
-0.598463,-0.787334,-0.097091,-1.09354,-1.33181,-2.05957,-1.155,-1.58151,-1.00813,-0.691992,-0.282829,-1.07549,1,0.978922,0.373941
0.314052,0.78976,0.34223,0.571014,-0.407948,-0.144853,0.79475,1.51527,-0.424271,-0.237726,-0.0688324,-0.133239,0,1.35006,0.396712
1.1449,0.834968,-0.523396,-0.214444,-0.131567,0.140056,-1.02952,-1.7769,-0.444215,-0.019519,0.762991,2.04987,3,2.19685,0.4065
-0.930611,-0.0929094,0.18653,0.662773,0.840799,1.18633,-0.217683,-0.255586,-0.761386,-0.908301,-0.837817,-0.775622,0,1.82804,0.34671
-1.26412,-1.43451,-0.0913882,-1.39872,-0.419188,-1.31609,-0.72428,0.799384,-0.185611,-0.257186,-0.512721,-0.367484,0,0.809692,0.406191
0.433548,0.374524,-1.38014,-0.202708,0.127476,0.541163,0.563283,-0.705267,-1.31279,-1.05384,-0.437004,-0.703914,2,1.80214,0.333606
-0.39371,-0.261942,-0.305356,0.476695,-0.456403,-1.27825,-0.317579,-0.209541,0.207367,0.21961,0.237163,0.413604,0,1.13872,0.441151
0.42937,1.53177,2.0277,0.966735,-1.42577,1.83023,0.00323256,0.337436,-0.0279642,0.559951,0.371001,0.811294,3,2.54804,0.330545
0.537593,1.02416,0.518643,-1.10031,0.398742,-1.47999,1.07657,1.08479,1.76256,0.0203336,-0.272304,-0.260105,2,1.21705,0.389143
0.692588,0.769619,0.774041,0.281426,-0.763324,0.737915,0.521912,1.41567,1.66728,0.189791,-0.181818,0.687311,0,1.2471,0.419197
3.05614,1.79526,1.95909,-0.434175,0.187269,1.41403,0.681092,-1.14263,0.227379,-0.707578,-0.429401,0.225804,7,3.58841,0.200017
-0.861608,-0.463741,-0.0810905,-0.175873,0.496746,-0.288902,0.606556,0.131368,0.195994,-1.45987,0.169468,-0.612295,0,1.35307,0.406984
0.199667,0.792566,-0.36374,0.406835,-0.44982,1.00235,0.517164,0.383479,-0.0448465,-0.12559,1.88469,0.277622,1,1.90536,0.369306
-0.882328,-0.515229,-0.120834,-1.19517,-0.354898,-0.242601,0.763496,-0.244456,1.17167,-0.771839,-1.45751,-1.24467,2,1.60819,0.277489
0.78046,-0.135429,0.0904519,-0.952642,-0.489184,-0.449505,-0.201307,-1.63699,-0.298522,1.88329,1.40286,0.460344,0,1.58056,0.430652
-1.64951,-2.38255,-1.31671,0.78694,-0.230059,-0.284319,-0.911581,-1.9567,-1.09297,-2.48432,-2.57061,-1.80339,2,1.08073,0.354864
-1.0607,-0.456424,-1.39455,-1.58633,-2.99238,0.28599,0.287611,-0.577666,0.383869,-0.276729,1.81111,0.809138,0,0.660347,0.492793
1.31955,1.10946,0.84232,0.65687,0.695013,0.222373,-0.848165,-0.249906,0.0113131,-1.1444,-2.66606,0.172903,1,3.62285,0.236794
0.0663921,0.243399,0.646516,1.53358,1.37493,1.95128,0.590132,0.153027,-0.130968,-1.14984,-1.12732,-0.336329,0,2.41376,0.339294
-2.32139,-1.39357,-1.66495,0.330272,-0.430781,0.332668,0.680074,0.500874,0.765795,1.21073,-0.647072,1.24853,1,0.791122,0.517718
-1.63259,-1.3138,-1.42758,0.0628163,-0.460983,-0.243904,-2.02445,-1.32471,-1.60267,-0.587766,1.87666,1.70886,0,1.04451,0.521119
0.114823,-1.37866,-0.51919,1.70204,0.808807,1.46545,0.405368,0.360563,0.776743,0.650281,-0.0648677,-1.09478,0,1.62807,0.385682
0.525339,0.626414,-0.336851,0.174516,-0.759229,0.789416,-1.94052,-0.496775,-0.933859,-0.965163,0.838894,0.485764,0,2.30834,0.347413
-1.02302,-1.79447,-0.602053,0.928675,-0.643207,0.809575,1.10804,-0.412072,-0.0885869,-0.718151,-1.65594,-0.229391,0,1.11807,0.403794
-0.595958,1.29318,0.60805,0.948061,-0.350731,0.267319,0.192623,1.22151,-0.732359,0.777819,0.705142,1.59731,0,1.60552,0.420833
-1.63676,-2.07702,0.511744,-1.64649,-1.51628,-2.14598,-1.43363,0.203808,-0.585777,-2.15608,0.206085,-1.10836,0,1.16106,0.333038
0.119632,0.799806,-1.69725,-1.49096,-0.615712,-0.0914118,-1.39997,0.115121,-0.155931,0.751324,0.24046,-0.672192,1,1.30824,0.330796
0.814367,0.979472,0.421414,0.290926,1.34498,-0.232556,0.207035,-0.0553054,1.48993,1.42213,0.47436,-0.739478,0,2.22599,0.341364
0.962541,0.298396,0.561801,-0.720602,-0.397341,-0.847251,-0.216871,1.31613,0.862546,1.54962,1.98528,2.58327,2,0.988952,0.454651
1.14701,0.354857,-0.147773,0.383218,0.249386,0.591556,-1.38931,-0.299194,-0.173462,0.518425,0.786442,-0.292318,2,1.821,0.368052
0.0444159,0.943078,0.74903,0.599685,0.219566,0.193319,-0.593034,0.617278,-0.852343,0.0565739,-2.70262,-1.39502,0,1.68953,0.346301
1.9808,1.86828,2.04449,0.731902,0.523182,0.460311,0.934624,1.23083,0.437308,1.05251,1.32512,2.01464,3,3.24392,0.286198
-0.516769,-1.66878,-1.33782,-0.179911,0.641518,0.642052,-0.276396,-0.113246,-0.0286942,1.13218,0.0177393,2.11873,0,0.898122,0.55175
-2.5014,-2.32147,0.346084,-0.577021,-0.314456,-0.665144,-0.511282,-0.632168,0.14161,-0.679882,0.480925,0.826733,0,0.920432,0.501405
1.14451,-0.161173,0.45836,1.16286,1.76117,1.53087,1.59144,-0.0804068,1.46186,1.83918,2.04835,1.59224,0,1.89591,0.419073
0.498825,0.562749,0.594149,-0.894492,-1.64154,-0.783943,-0.174921,0.671093,1.10369,-0.0647257,-0.462218,0.176989,5,1.54315,0.304853
-0.202569,-0.139896,-0.242612,-0.279745,-1.11685,0.181766,1.51025,0.932295,1.42708,0.366955,-0.518153,-1.10594,0,0.9253,0.403912
1.8612,1.89363,2.02185,1.01147,-1.67086,-0.271657,0.732375,-0.325448,0.154072,-1.23066,-1.11331,-0.975031,2,4.2963,0.174916
1.06908,-0.48784,1.15311,0.0317226,1.04506,0.449476,0.80303,1.51446,1.30619,0.947391,-0.946046,-1.86776,2,1.56405,0.355451
0.215945,0.139799,0.602842,-0.826858,-0.758238,-0.98261,0.677492,0.817216,-0.573471,0.507367,-0.051286,-1.11814,0,1.45507,0.355863
1.52737,1.26253,1.69389,1.582,0.774541,0.974156,0.930801,0.668258,0.111139,0.944339,0.402756,1.11049,0,2.21444,0.344668
-0.558414,0.106975,0.645064,0.466651,0.730869,0.827232,-2.59237,0.267881,-0.695265,-1.55783,-1.84882,-1.0369,0,2.68156,0.289714
0.869164,1.45715,0.829845,-0.171098,-0.913539,0.448775,-0.155342,-0.0782977,-0.0933434,1.25027,0.3288,0.246292,0,1.87521,0.35101
-0.271871,0.619428,0.953598,0.45833,1.1182,-0.353413,-1.3935,-0.79025,-1.37468,0.640032,-0.11996,1.52422,0,2.01377,0.403902
-1.54463,-0.413096,0.103963,1.12851,2.07229,-0.0518408,0.0798034,-0.0171454,0.0689744,0.411561,0.173229,0.211905,0,1.46195,0.43355
-0.0487364,0.167879,-0.317242,-1.33376,-0.0527482,-1.41158,0.117485,0.55069,0.128593,0.373766,1.93435,2.44323,0,1.12698,0.440098
-2.07879,-0.523153,-1.34227,-0.903506,-1.30935,1.11778,-0.20789,-0.390946,-0.21391,-1.33089,-2.03591,-1.66392,0,0.640708,0.451131
0.071857,-0.803163,0.505748,0.46215,0.31122,-0.677064,0.366775,-0.049907,1.28871,0.906443,0.772102,-0.11666,0,1.22926,0.444816
0.578641,-1.08262,-0.850016,-0.825193,-1.99188,0.0506076,-0.528507,-0.146142,-0.402205,-1.16565,-0.388408,0.692572,2,1.04822,0.366016
-0.197923,-1.97529,-1.52154,-0.876174,-1.71558,0.227416,0.575715,1.25402,1.32259,-0.197277,0.870658,0.0630171,0,0.76449,0.533229
0.196534,0.363819,1.64417,1.01095,0.0282061,0.245122,0.0495691,0.0208227,1.23641,-0.299627,-0.129134,0.721447,0,1.32703,0.386129
-0.638372,0.107481,0.716525,0.705999,-0.663677,0.24721,-0.722386,-1.23052,-0.631764,-1.02115,0.112999,0.198262,0,1.65337,0.357708
0.428175,0.174594,-0.445821,-0.294983,0.415137,-0.647954,-0.443181,0.657447,0.621609,-0.22035,-1.1005,0.0805456,1,1.67919,0.323682
0.928569,0.498448,1.54827,-0.587099,-0.838677,-0.976664,0.816762,0.377156,-1.70853,-0.184363,-1.23869,0.014376,0,2.00817,0.29585
1.14796,0.750276,0.261629,0.43541,-0.745831,-0.496625,0.739872,-0.45941,-0.53123,0.470691,-0.252084,0.912763,1,1.99187,0.323973
1.28012,1.52086,1.26672,-0.48184,-0.945986,1.28397,-0.415182,-1.45208,-0.750175,0.495047,1.76177,0.742154,3,2.32321,0.380371
0.108577,0.818435,0.789079,0.517663,-1.38751,-0.536991,-0.225896,1.89524,-0.626542,0.0442871,-0.0709363,0.137071,0,1.2303,0.360898
-0.0369025,-0.218995,-0.636286,-0.139932,-0.022683,0.648661,-0.13858,-1.01963,-0.122845,-1.0571,0.235398,-1.00433,0,1.29122,0.379062
-1.13749,-0.133867,0.662268,0.102367,1.34966,0.509572,1.2847,0.802652,1.00804,0.275078,0.0472319,0.285308,0,1.55608,0.417449
-1.40529,-1.06305,0.0777108,-0.936008,-0.311369,-1.0053,-0.203357,-0.286359,1.48539,-1.21421,-0.790593,-1.07865,1,0.910152,0.384657
-0.337353,-1.32997,-0.804397,-0.960478,-0.778563,-0.209902,1.01186,0.119076,-0.57568,-1.18993,-0.844663,-0.799358,2,1.31136,0.341249
-0.896915,-0.108478,-1.33356,0.269092,-0.433991,0.0123766,-0.907353,0.360223,0.909858,1.20117,-0.0252833,0.125556,2,0.939491,0.446276
0.195978,1.11786,1.20592,-0.0367863,0.0211955,0.11018,1.19097,0.751683,1.4658,1.46345,0.854856,1.24513,0,1.81558,0.355818
-0.796149,-1.22597,-1.15519,-1.3422,-1.54858,-1.06064,-0.533236,-0.519624,0.465124,0.348126,-1.80026,-1.64692,0,0.948761,0.399599
-0.0420236,1.17795,-0.678111,0.067637,0.548093,0.386733,0.409617,-0.907445,0.937821,0.786294,1.19576,0.736783,0,1.92044,0.352577
0.855747,-0.745981,-0.503659,-0.156282,-2.62802,-0.589287,-1.09231,-0.885605,-0.533762,-2.68881,-2.06267,-1.38339,0,1.10045,0.365688
1.66162,0.401303,2.38608,0.969252,-0.502749,-0.985342,0.0815649,-0.263368,-1.6807,0.326384,0.801881,0.196493,5,1.97037,0.372534
0.0196382,1.12073,0.526799,1.49401,0.463159,-0.114459,-0.219251,-0.403477,0.110711,0.564282,0.696142,-0.139947,0,2.68533,0.29523
